roteiro_link,filme_nome,tipo_filme
http://www.roteirodecinema.com.br/roteiros/cafe_da_tarde.pdf,"CAFÉ DA TARDE",TELEVISÃO
http://www.msmidia.com/lais/ColapsoRBS.pdf,"COLAPSO",TELEVISÃO
http://www.roteirodecinema.com.br/banco/desinibidadograjau.rtf,"DESINIBIDA DO GRAJAÚ, A",TELEVISÃO
http://www.msmidia.com/lais/Identidade.pdf,"IDENTIDADE",TELEVISÃO
http://joaonunes.com/wp-content/uploads/file/Max_Circo_final_3.pdf,"INSPECTOR MAX",TELEVISÃO
http://joaonunes.com/wp-content/uploads/liberdadexxi-ep13.pdf,"LIBERDADE 21",TELEVISÃO
http://portalliteral.terra.com.br/download_texto_banco/mandrake,"MANDRAKE",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/o-padeiro-e-revolu%C3%A7%C3%B5es,"PADEIRO E AS REVOLUÇÕES, O",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/quintana-e-musas,"QUINTANA E AS MUSAS",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/o-resto-%C3%A9-sil%C3%AAncio,"RESTO É SILÊNCIO, O",TELEVISÃO
http://www.roteirodecinema.com.br/roteiros/telefonema.pdf,"TELEFONEMA, O",TELEVISÃO
http://www.corpoealma.blog.br/roteiro.pdf,"CORPO E ALMA",DOCUMENTÁRIO
http://www.casacinepoa.com.br/index.php?arquivo=filmes_mais&id=313&pagina=40&id_sub=23&id_categoria=22&hash=12345678901234567890123456789012,"FUTURO DA TERRA, O",DOCUMENTÁRIO
http://www.amplanet.com.br/trincafilmes/arquivos/roteiroH.DOBAL.pdf,"H. DOBAL – UM HOMEM PARTICULAR",DOCUMENTÁRIO
http://www.casacinepoa.com.br/os-filmes/roteiros/ilha-das-flores-texto-original,"ILHA DAS FLORES",DOCUMENTÁRIO
http://www.casacinepoa.com.br/os-filmes/roteiros/matadeira,"MATADEIRA, A",DOCUMENTÁRIO
http://www.ar.art.br/informateca/roteiros/reparacao.zip,"REPARAÇÃO",DOCUMENTÁRIO
http://www.roteirodecinema.com.br/roteiros/EnquantoFaçoasUnhas.pdf,"ENQUANTO FAÇO AS UNHAS",CURTA
http://www.roteirodecinema.com.br/roteiros/aguaviva/água_viva14trat_v8_12abr09.pdf,"ÁGUA VIVA",CURTA
http://www.roteirodecinema.com.br/roteiros/janela_sobre_o_sonho.pdf,"JANELA SOBRE O SONHO",CURTA
http://www.escolalobodacunha.com.br/imagens/FACASEMPONTAGALINHASEMPe.pdf,"FACA SEM PONTA, GALINHA SEM PÉ",CURTA
http://www.roteirodecinema.com.br/roteiros/a_invasao_do_alegrete.pdf,"A INVASÃO DO ALEGRETE",CURTA
http://www.roteirodecinema.com.br/roteiros/novabandeiraparaanacao.pdf,"NOVA BANDEIRA PARA A NAÇÃO",CURTA
http://www.roteirodecinema.com.br/roteiros/passageiro_obscuro.pdf,"O PASSAGEIRO OBSCURO ",CURTA
http://www.portacurtas.com.br/dialogos/acorda_roteiro.rtf,"ACORDA",CURTA
http://www.roteirodecinema.com.br/roteiros/aguaviva/Água_viva14trat_v8_12abr09.pdf,"ÁGUA VIVA",CURTA
http://www.tabocafilmes.com.br/arquivos/A_Salvacao_da_Viagem_III.doc,"AEROPORTO EM O EMBARQUE",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/angelo-anda-sumido,"ÂNGELO ANDA SUMIDO",CURTA
http://www.portacurtas.com.br/dialogos/bala_perdida_roteiro.rtf,"BALA PERDIDA",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/barbosa,"BARBOSA",CURTA
http://www.portacurtas.com.br/dialogos/BMW%20VERMELHO.rtf,"BMW VERMELHA",CURTA
http://www.portacurtas.com.br/dialogos/O%20Cabe%C3%A7a%20do%20Copacabana%20-%20Roteiro.rtf,"O CABEÇA DE COPACABANA",CURTA
http://www.roteirodecinema.com.br/roteiros/cafe_da_tarde.pdf,"CAFÉ DA TARDE",CURTA
http://junioraragaki.blogspot.com/2008/04/roteiro-do-curta-metragem-conversao.html,"CONVERSÃO",CURTA
